wbs_code,depth,name,spec,unit,qty,exec_rate,exec_cost,layer,prod_rate,est_days,wbs_path
1.1.1.1.12.10,6,토류판,T=8,才,5821.0,1650.0,9604650.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-13. 잔여구조물 철거공사 > 토류판
1.1.1.1.12.11,6,잔여구조물 철거공사,,M3,239.0,55000.0,13145000.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-13. 잔여구조물 철거공사 > 잔여구조물 철거공사
1.2,2,표준 공통가설공사,,,0.0,0.0,4950000.0,,,,직접공사비 > 표준 공통가설공사
1.2.1,3,8. 환경관리비,,,0.0,0.0,4950000.0,,,,직접공사비 > 표준 공통가설공사 > 8. 환경관리비
1.2.1.1,4,건설폐기물 처리비,토공사,식,1.0,4950000.0,4950000.0,,,,직접공사비 > 표준 공통가설공사 > 8. 환경관리비 > 건설폐기물 처리비
2,1,법정경비 등,,,0.0,0.0,590591786.0,,,,법정경비 등
2.1,2,고용보험료,,,0.0,0.0,8000000.0,,,,법정경비 등 > 고용보험료
2.1.1,3,고용보험료,"노무비*1.30%, 토공사",식,1.0,8000000.0,8000000.0,,,,법정경비 등 > 고용보험료 > 고용보험료
2.2,2,안전관리비,,,0.0,0.0,20000000.0,,,,법정경비 등 > 안전관리비
2.2.1,3,안전관리비,"직접공사비*0.3%, 토공사",식,1.0,20000000.0,20000000.0,,,,법정경비 등 > 안전관리비 > 안전관리비
2.3,2,국민건강보험료,,,0.0,0.0,22000000.0,,,,법정경비 등 > 국민건강보험료
2.3.1,3,국민건강보험료,"직접노무비*3.545%, 토공사",식,1.0,22000000.0,22000000.0,,,,법정경비 등 > 국민건강보험료 > 국민건강보험료
2.4,2,노인장기요양보험료,,,0.0,0.0,3000000.0,,,,법정경비 등 > 노인장기요양보험료
2.4.1,3,노인장기요양보험료,"건강보험료*12.95%, 토공사",식,1.0,3000000.0,3000000.0,,,,법정경비 등 > 노인장기요양보험료 > 노인장기요양보험료
2.5,2,국민연금보험료,,,0.0,0.0,28000000.0,,,,법정경비 등 > 국민연금보험료
2.5.1,3,국민연금보험료,"직접노무비*4.5%, 토공사",식,1.0,28000000.0,28000000.0,,,,법정경비 등 > 국민연금보험료 > 국민연금보험료
2.6,2,퇴직공제부금,,,0.0,0.0,14000000.0,,,,법정경비 등 > 퇴직공제부금
2.6.1,3,퇴직공제부금,"직접노무비*2.3%, 토공사",식,1.0,14000000.0,14000000.0,,,,법정경비 등 > 퇴직공제부금 > 퇴직공제부금
2.7,2,건설기계대여금 보증수수료,,,0.0,0.0,26000000.0,,,,법정경비 등 > 건설기계대여금 보증수수료
2.7.1,3,건설기계대여금 보증수수료,"직접공사비*0.4%, 토공사",식,1.0,26000000.0,26000000.0,,,,법정경비 등 > 건설기계대여금 보증수수료 > 건설기계대여금 보증수수료
2.8,2,부가세보상비,,,0.0,0.0,469591786.0,,,,법정경비 등 > 부가세보상비
2.8.1,3,부가세보상비,"재료비*10%*98.72%, 토공사",식,1.0,469591786.0,469591786.0,,,,법정경비 등 > 부가세보상비 > 부가세보상비
